Date;Open;Low;High;Close;Volume
20180724;1.121114;1.12026;1.125505;1.125037;151778.58996599913
20180725;1.125087;1.123343;1.127091;1.124859;150930.83000200987
20180726;1.124872;1.124189;1.12807;1.126088;151724.14994221926
20180727;1.126291;1.123734;1.126951;1.124429;131106.03995165232
20180730;1.125353;1.121265;1.12605;1.122183;132089.32994877547
20180731;1.122221;1.119157;1.123078;1.122687;139704.7898735702
20180801;1.122763;1.121428;1.125784;1.125758;145358.61990138885
20180802;1.125822;1.120498;1.129369;1.123798;149592.05009798706
20180803;1.123798;1.121214;1.124493;1.124391;140551.65997934339
20180806;1.125277;1.119006;1.125822;1.120498;111553.16006827352
20180807;1.120549;1.115337;1.121051;1.115648;115152.25987544654
20180808;1.115847;1.109066;1.116333;1.109742;109340.0201132372
20180809;1.109656;1.107383;1.113549;1.112669;121178.12010616064
20180810;1.112731;1.112199;1.12036;1.119558;167455.11048352715
20180813;1.121604;1.117843;1.12202;1.119119;150992.9003577903
20180814;1.119119;1.118368;1.124075;1.121944;145320.81027368456
20180815;1.122158;1.118718;1.123495;1.119457;141466.33024162054
20180816;1.119558;1.116109;1.119695;1.118043;137819.51023320857
20180817;1.118643;1.113908;1.119119;1.115026;133625.55047541857
20180820;1.115088;1.114107;1.118681;1.114728;106314.52018606664
20180821;1.114728;1.110852;1.117493;1.115561;133428.96008837226
20180822;1.114964;1.110531;1.116071;1.113908;109637.58018678428
20180823;1.113859;1.108254;1.114852;1.110556;128507.48001128435
20180824;1.110877;1.10474;1.110963;1.105926;116889.37012138964
20180827;1.105901;1.103059;1.106917;1.104204;109557.93026649953
20180828;1.104265;1.099119;1.104704;1.101128;124907.8401594758
20180829;1.101249;1.099965;1.113251;1.112941;146549.80039388686
20180830;1.113003;1.112025;1.116907;1.115163;124816.3502742052
20180831;1.115163;1.112669;1.118869;1.117593;141019.5303336382
20180903;1.11397;1.107064;1.115126;1.107996;110590.33022416383
20180904;1.108033;1.107812;1.112496;1.110161;126557.9902587384
20180905;1.110359;1.104765;1.116607;1.109866;152483.48029494286
20180906;1.10994;1.10877;1.114343;1.112706;136869.8601596877
20180907;1.112731;1.110346;1.121982;1.118743;161598.19027335945
20180910;1.11947;1.11642;1.124278;1.123848;124540.10015787186
20180911;1.123861;1.118919;1.12657;1.123507;147898.38022185862
20180912;1.123495;1.119006;1.125974;1.122448;148134.0999635458
20180913;1.122586;1.119821;1.124531;1.12134;139298.5199399367
20180914;1.121353;1.119507;1.124872;1.124834;136099.02996897695
20180917;1.124923;1.123129;1.126722;1.126583;122964.63021861762
20180918;1.126621;1.122473;1.127345;1.127142;150290.28979557753
20180919;1.127383;1.121227;1.128515;1.126342;157593.40012541413
20180920;1.126316;1.124834;1.13025;1.126926;170601.8200924918
20180921;1.127078;1.111667;1.127612;1.113747;163224.2901281491
20180924;1.114032;1.112607;1.119219;1.117019;139784.74001117796
20180925;1.117019;1.114181;1.121039;1.1208;135308.01997891814
20180926;1.120825;1.117856;1.123507;1.122095;144914.339946419
20180927;1.122146;1.119019;1.125543;1.123583;138635.65011632442
20180928;1.12357;1.121831;1.127065;1.123141;143654.33004302534
20181001;1.123166;1.121718;1.128898;1.126608;131953.40991526842
20181002;1.126608;1.121831;1.127841;1.124316;133635.65985991806
20181003;1.124265;1.121403;1.128719;1.12793;173892.25997292995
20181004;1.127981;1.126722;1.131952;1.130966;158384.08999300006
20181005;1.131183;1.130314;1.139406;1.138848;154708.87026421726
20181008;1.139549;1.135499;1.139939;1.139692;135055.33009389046
20181009;1.139757;1.137527;1.145161;1.143982;159551.77018228173
20181010;1.143982;1.14287;1.146395;1.145515;139324.36019323766
20181011;1.145528;1.139861;1.146237;1.141865;188028.11009806395
20181012;1.141722;1.137061;1.143484;1.137812;149112.90010260788
20181015;1.134456;1.133093;1.136945;1.136105;126426.95019224285
20181016;1.136105;1.135112;1.142544;1.139653;127697.34033381939
20181017;1.13964;1.135254;1.140966;1.140485;114811.81042341144
20181018;1.140485;1.135576;1.140719;1.136777;128265.62041879445
20181019;1.136816;1.132157;1.139549;1.134996;130481.95045602322
20181022;1.13568;1.129076;1.136015;1.131094;121734.93042829633
20181023;1.131158;1.130276;1.136622;1.132144;133052.2903573811
20181024;1.132105;1.13011;1.134378;1.130966;143390.440348804
20181025;1.130953;1.125771;1.132336;1.127154;138493.14030526578
20181026;1.127015;1.124075;1.12849;1.125353;153956.2305098921
20181028;1.125911;1.125176;1.125936;1.125492;890.9800062775612
20181029;1.125302;1.12357;1.127625;1.125606;133122.8204871714
20181030;1.125606;1.118656;1.125771;1.120662;130726.29037307948
20181031;1.120611;1.11957;1.130927;1.129012;129266.09044656904
20181101;1.129025;1.128286;1.14197;1.139874;151246.30066809055
20181102;1.139874;1.136351;1.140524;1.13903;139688.05057239532
20181105;1.143916;1.139965;1.144636;1.143537;126063.40057426695
20181106;1.143576;1.142309;1.147908;1.146723;126467.67045618592
20181107;1.146986;1.143328;1.149082;1.149003;156222.3905428648
20181108;1.149003;1.144453;1.150695;1.149637;142349.05044475195
20181109;1.149676;1.143615;1.150563;1.144925;144723.77056822926
20181112;1.141045;1.139796;1.148224;1.145633;145973.34056651592
20181113;1.145685;1.143955;1.155295;1.149914;154885.76074917614
20181114;1.148422;1.141918;1.153948;1.149795;200492.5910164117
20181115;1.149782;1.125049;1.149994;1.127981;174274.8914829865
20181116;1.128923;1.122826;1.133273;1.124025;154903.57100557536
20181119;1.125695;1.11957;1.127803;1.12246;123753.9208175093
20181120;1.123217;1.120812;1.126824;1.124973;142506.71118292212
20181121;1.124986;1.120649;1.125518;1.123002;116399.23065904528
20181122;1.123002;1.120724;1.131132;1.129714;109964.27022982387
20181123;1.129714;1.126456;1.131913;1.131708;120675.05022609234
20181126;1.131311;1.127574;1.131734;1.131631;112536.02010136844
20181127;1.131555;1.125176;1.131734;1.128401;143938.90015909073
20181128;1.129382;1.126672;1.135061;1.128503;139825.87039655447
20181129;1.128515;1.121089;1.128923;1.122965;128627.34027922152
20181130;1.122965;1.120498;1.128655;1.127065;142160.55028361082
20181203;1.124834;1.120461;1.128299;1.120938;134740.68941748142
20181204;1.121051;1.117968;1.124961;1.121906;157046.47958239913
20181205;1.121189;1.11962;1.126862;1.122712;117796.05969515446
20181206;1.122712;1.12016;1.125315;1.124442;152042.57958641648
20181207;1.126126;1.115126;1.126291;1.119194;139511.2596399784
20181210;1.1153;1.100461;1.116333;1.106562;151393.61974203587
20181211;1.106562;1.102609;1.110408;1.103692;147467.07966637608
20181212;1.103801;1.10267;1.115051;1.110877;162223.74973376095
20181213;1.110877;1.109385;1.117081;1.114405;139150.23953670266
20181214;1.114815;1.110531;1.115984;1.11371;144020.26959177107
20181217;1.115175;1.110543;1.115275;1.112001;132788.7998032719
20181218;1.112619;1.109816;1.115735;1.113201;141560.5895795822
20181219;1.112793;1.106072;1.113462;1.10893;225938.60938930511
20181220;1.108918;1.10446;1.110741;1.105962;252555.0893191099
20181221;1.106134;1.104985;1.113288;1.111432;243705.82958096266
20181224;1.112954;1.107861;1.116084;1.115549;192149.90989153832
20181225;1.115325;1.110864;1.115623;1.113325;6869.399999976158
20181226;1.114144;1.110149;1.115287;1.112991;123919.72986257075
20181227;1.113164;1.103667;1.114454;1.106574;293746.8595214486
20181228;1.106635;1.103814;1.110667;1.110161;194844.429522872
20181231;1.110692;1.108537;1.120197;1.113412;156440.55962073806
20190102;1.113549;1.107273;1.114305;1.111506;234798.4492832645
20190103;1.111914;1.09743;1.112446;1.109189;278249.328997083
20190104;1.109213;1.10753;1.118105;1.117019;240339.98922950032
